asin,brand,title,seller,price,currency,availability,rating,review_count,product_url,scraped_at
B0DT43NNNF,Visit the AULA Store,"AULA WIN68 HE Mechanical Gaming Keyboard 60%, Hall Effect Magnetic Switch, Fast Trigger Mode Adjustable Actuation, 8000Hz Polling Rate, RGB Backlit, Wired Black Keyboard for Laptop/PC Gamer",AULA MALL,12772.57,PKR,In Stock,4.5,652,https://www.amazon.com/dp/B0DT43NNNF,2026-09-05T16:18:15.575555+00:00
B0DZ28ZGYL,Visit the AULA Store,"AULA S99 Gaming Keyboard, Wireless Green Creamy Computer Keyboards",AULA Tech USA,7773.52,PKR,In Stock,4.2,2227,https://www.amazon.com/dp/B0DZ28ZGYL,2026-09-05T16:18:40.795379+00:00
B0H2CY7H1M,Visit the GMKWTL Store,"XVX 75% Wireless Mechanical Gaming Keyboard with Knob, M75 Creamy Keyboards",GMKWTL SHOP,16660.72,PKR,In Stock,4.2,6,https://www.amazon.com/dp/B0H2CY7H1M,2026-09-05T16:19:05.412150+00:00
B0B3RJML38,Visit the AULA Store,"AULA Gaming Keyboard and Mouse,Wired 104-Key Mouse and Keyboard Combo Metal",AULA Tech USA,6087.73,PKR,In Stock,4.5,2815,https://www.amazon.com/dp/B0B3RJML38,2026-09-05T16:19:25.509690+00:00
B08Z6X4NK3,,Logitech G413 SE Full-Size Mechanical Gaming Keyboard - Black,"LLC,",19299.11,PKR,In Stock,4.5,1647,https://www.amazon.com/dp/B08Z6X4NK3,2026-09-05T16:19:46.375980+00:00
B0C8QYB8W6,,"Razer BlackWidow V4 X Mechanical Gaming Keyboard, Yellow Switches, Black",,27769.72,PKR,In Stock,4.5,486,https://www.amazon.com/dp/B0C8QYB8W6,2026-09-05T16:20:10.683914+00:00
B0DRFGNWV1,Visit the Redragon Store,"Redragon K521 Upgrade Rainbow LED Gaming Keyboard, 104 Keys Wired Mechanical Feeling Keyboard with Multimedia Keys, One-Touch Backlit, Anti-Ghosting, Compatible with PC, Mac, PS4/5, Xbox",Redragon Official,4440.82,PKR,In Stock,4.4,11285,https://www.amazon.com/dp/B0DRFGNWV1,2026-09-05T16:20:30.483885+00:00
B0DQKL7R48,Visit the TECKNET Store,"TECKNET Wired RGB Gaming Keyboard - 26-Key Anti-Ghosting, 13 Lighting Modes, Spill-Resistant, 108 Membrane Keys, Plug & Play - with Ergonomic Wrist Rest & Phone Holder for Windows/Mac (Black)",TECHBLUE OCEAN,5996.08,PKR,In Stock,4.5,1950,https://www.amazon.com/dp/B0DQKL7R48,2026-09-05T16:20:56.675415+00:00
B0DGZLHN8G,,"SteelSeries Apex Pro TKL Gen 3 Gaming Keyboard - OmniPoint 3.0 Analog Magnetic Switches, Quickset Auto-Presets (Rapid Trigger, Rapid Tap/SOCD, Protection Mode), OLED, RGB, PBT Keycaps, USB-C, Black",,48321.37,PKR,In Stock,4.7,525,https://www.amazon.com/dp/B0DGZLHN8G,2026-09-05T16:21:35.858668+00:00
B0H79498N7,Visit the EWEADN Store,EWEADN M75 Custom Mechanical Gaming Keyboard with Gasket Structure,EWEADN Store,19437.97,PKR,Only 9 left in stock - order soon.,4.6,17,https://www.amazon.com/dp/B0H79498N7,2026-09-05T16:22:00.496152+00:00
B00NLZUM36,Visit the Redragon Store,"Redragon S101-3 PRO Gaming Keyboard and Mouse, RGB Backlit Programmable Keyboard Mouse with Software, Independent Macro Record Keys, Value Combo Set, New Update Version",Redragon Official,11106.22,PKR,In Stock,4.5,51660,https://www.amazon.com/dp/B00NLZUM36,2026-09-05T16:22:20.463754+00:00
B07QGHK6Q8,,Logitech G213 Prodigy Wired RGB Gaming Keyboard - Black,Garden-State,15816.44,PKR,Only 4 left in stock - order soon.,4.2,7477,https://www.amazon.com/dp/B07QGHK6Q8,2026-09-05T16:22:45.587124+00:00
B0GDWD8Q87,Brand: Typehaven,L98 Wireless Mechanical Gaming Keyboard with Smart Display & Knob,Typehaven Shop,19993.42,PKR,In Stock,4.7,14,https://www.amazon.com/dp/B0GDWD8Q87,2026-09-05T16:23:05.421521+00:00
B0D17C3ZVJ,Visit the TECKNET Store,"TECKNET Wired Gaming Keyboard, RGB Backlit Keyboard with Metal Panel Design",TECHBLUE OCEAN,7495.8,PKR,In Stock,4.4,5009,https://www.amazon.com/dp/B0D17C3ZVJ,2026-09-05T16:23:34.667130+00:00
B0GR4JW87K,Visit the VGN Store,VGN N75 Wired 75% Compact Mechanical RGB Gaming Keyboard with Media Knob,MyGolfGuru,14716.65,PKR,In Stock,4.5,4,https://www.amazon.com/dp/B0GR4JW87K,2026-09-05T16:24:00.358940+00:00
B07ZGDPT4M,,SteelSeries Apex 3 RGB Gaming Keyboard – 10-Zone RGB Illumination – IP32 Water Resistant – Premium Magnetic Wrist Rest (Whisper Quiet Gaming Switch),,13883.47,PKR,In Stock,4.6,8052,https://www.amazon.com/dp/B07ZGDPT4M,2026-09-05T16:24:26.176028+00:00
B0D14N2QZF,Visit the AULA Store,"AULA F75 Pro Wireless Mechanical Keyboard,75% Hot Swappable Custom Keyboard with Knob,RGB Backlit,Pre-lubed Reaper Switches,Side Printed PBT Keycaps,2.4GHz/USB-C/BT5.0 Mechanical Gaming Keyboards",AULA MALL,18049.35,PKR,In Stock,4.6,1775,https://www.amazon.com/dp/B0D14N2QZF,2026-09-05T16:24:50.893902+00:00
B0H47SVZSR,,Razer Huntsman V3 HE Magnetic Mini 65% 8KHz Wired Gaming Keyboard,,33324.22,PKR,In Stock,4.2,54,https://www.amazon.com/dp/B0H47SVZSR,2026-09-05T16:25:30.721817+00:00
